Entity,Code,Year,Fossil fuels (TWh)
Algeria,DZA,2022,732.47235
Algeria,DZA,2023,782.6386
Algeria,DZA,2024,758.1834
Argentina,ARG,1965,324.90497
Argentina,ARG,1966,335.50534
Argentina,ARG,1967,345.2748
Argentina,ARG,1968,356.41583
Argentina,ARG,1969,368.9387
Argentina,ARG,1970,348.70258
Argentina,ARG,1971,369.98145
Argentina,ARG,1972,374.76193
Argentina,ARG,1973,387.40298
Argentina,ARG,1974,394.37433
Argentina,ARG,1975,379.864
Argentina,ARG,1976,400.39224
Argentina,ARG,1977,419.5567
Argentina,ARG,1978,413.15894
Argentina,ARG,1979,436.3133
Argentina,ARG,1980,421.55438
Argentina,ARG,1981,407.17816
Argentina,ARG,1982,412.6619
Argentina,ARG,1983,426.2485
Argentina,ARG,1984,420.0792
Argentina,ARG,1985,408.27716
Argentina,ARG,1986,430.9209
Argentina,ARG,1987,449.1826
Argentina,ARG,1988,479.41727
Argentina,ARG,1989,468.48166
Argentina,ARG,1990,440.16324
Argentina,ARG,1991,453.10748
Argentina,ARG,1992,483.1602
Argentina,ARG,1993,486.2508
Argentina,ARG,1994,506.80692
Argentina,ARG,1995,531.85065
Argentina,ARG,1996,570.75055
Argentina,ARG,1997,563.2054
Argentina,ARG,1998,594.0646
Argentina,ARG,1999,621.1754
Argentina,ARG,2000,600.2755
Argentina,ARG,2001,558.6721
Argentina,ARG,2002,535.5083
Argentina,ARG,2003,582.63885
Argentina,ARG,2004,638.6372
Argentina,ARG,2005,676.37555
Argentina,ARG,2006,703.27014
Argentina,ARG,2007,757.5216
Argentina,ARG,2008,767.4927
Argentina,ARG,2009,729.6476
Argentina,ARG,2010,760.08044
Argentina,ARG,2011,791.2131
Argentina,ARG,2012,831.2481
Argentina,ARG,2013,885.84674
Argentina,ARG,2014,870.5072
Argentina,ARG,2015,883.2019
Argentina,ARG,2016,883.4913
Argentina,ARG,2017,872.594
Argentina,ARG,2018,857.06537
Argentina,ARG,2019,793.8452
Argentina,ARG,2020,731.6663
Argentina,ARG,2021,814.0086
Argentina,ARG,2022,856.94183
Argentina,ARG,2023,833.53455
Argentina,ARG,2024,805.21014
Asia,,1965,4948.0674
Asia,,1966,5443.6274
Asia,,1967,5708.204
Asia,,1968,6120.0835
Asia,,1969,7068.5547
Asia,,1970,8107.4604
Asia,,1971,8825.775
Asia,,1972,9478.627
Asia,,1973,10306.196
Asia,,1974,10396.168
Asia,,1975,10875.581
Asia,,1976,11518.939
Asia,,1977,12292.051
Asia,,1978,12989.989
Asia,,1979,13574.408
Asia,,1980,13477.32
Asia,,1981,13609.059
Asia,,1982,13904.957
Asia,,1983,14672.134
Asia,,1984,15644.804
Asia,,1985,18351.238
Asia,,1986,19127.805
Asia,,1987,20264.395
Asia,,1988,21650.896
Asia,,1989,22681.5
Asia,,1990,23500.732
Asia,,1991,24485.41
Asia,,1992,25644.836
Asia,,1993,26587.205
Asia,,1994,28022.906
Asia,,1995,29037.492
Asia,,1996,30390.812
Asia,,1997,31271.727
Asia,,1998,31184.037
Asia,,1999,32284.012
Asia,,2000,33659.812
Asia,,2001,34771.97
Asia,,2002,36570.5
Asia,,2003,39770.19
Asia,,2004,43454.957
Asia,,2005,46933.582
Asia,,2006,49594.465
Asia,,2007,52798.54
Asia,,2008,54312.3
Asia,,2009,55567.684
Asia,,2010,58945.74
Asia,,2011,62358.297
Asia,,2012,64577.023
Asia,,2013,65876.46
Asia,,2014,67241.51
Asia,,2015,68120.22
Asia,,2016,68921.91
Asia,,2017,70983.016
Asia,,2018,73038.5
Asia,,2019,74441.3
Asia,,2020,73413.375
Asia,,2021,76741.92
Asia,,2022,78121.95
Asia,,2023,80910.46
Asia,,2024,82613.17
Asia Pacific (EI),,1965,4785.399
Asia Pacific (EI),,1966,5271.5024
Asia Pacific (EI),,1967,5528.018
Asia Pacific (EI),,1968,5919.686
Asia Pacific (EI),,1969,6841.87
Asia Pacific (EI),,1970,7878.1777
Asia Pacific (EI),,1971,8551.182
Asia Pacific (EI),,1972,9162.794
Asia Pacific (EI),,1973,9924.488
Asia Pacific (EI),,1974,9994.114
Asia Pacific (EI),,1975,10471.255
Asia Pacific (EI),,1976,11008.55
Asia Pacific (EI),,1977,11655.067
Asia Pacific (EI),,1978,12290.618
Asia Pacific (EI),,1979,12700.373
Asia Pacific (EI),,1980,12650.985
Asia Pacific (EI),,1981,12669.252
Asia Pacific (EI),,1982,12782.572
Asia Pacific (EI),,1983,13350.414
Asia Pacific (EI),,1984,14094.541
Asia Pacific (EI),,1985,14762.936
Asia Pacific (EI),,1986,15351.071
Asia Pacific (EI),,1987,16301.287
Asia Pacific (EI),,1988,17516.885
Asia Pacific (EI),,1989,18408.594
Asia Pacific (EI),,1990,19095.355
Asia Pacific (EI),,1991,20043.299
Asia Pacific (EI),,1992,21059.342
Asia Pacific (EI),,1993,22094.61
Asia Pacific (EI),,1994,23327.096
Asia Pacific (EI),,1995,24308.25
Asia Pacific (EI),,1996,25557.564
Asia Pacific (EI),,1997,26323.453
Asia Pacific (EI),,1998,26138.527
Asia Pacific (EI),,1999,27193.02
Asia Pacific (EI),,2000,28291.086
Asia Pacific (EI),,2001,29169.898
Asia Pacific (EI),,2002,30664.314
Asia Pacific (EI),,2003,33610.266
Asia Pacific (EI),,2004,36763.7
Asia Pacific (EI),,2005,39823.734
Asia Pacific (EI),,2006,42108.12
Asia Pacific (EI),,2007,44867.83
Asia Pacific (EI),,2008,45845.61
Asia Pacific (EI),,2009,46966.516
Asia Pacific (EI),,2010,49715.3
Asia Pacific (EI),,2011,52596.516
Asia Pacific (EI),,2012,54334.785
Asia Pacific (EI),,2013,55441.48
Asia Pacific (EI),,2014,56309.953
Asia Pacific (EI),,2015,56979.04
Asia Pacific (EI),,2016,57315.32
Asia Pacific (EI),,2017,59065.29
Asia Pacific (EI),,2018,60999.53
Asia Pacific (EI),,2019,62410.31
Asia Pacific (EI),,2020,61423.707
Asia Pacific (EI),,2021,64174.156
Asia Pacific (EI),,2022,65107.25
Asia Pacific (EI),,2023,67633.5
Asia Pacific (EI),,2024,69026.57
Australia,AUS,1965,402.0766
Australia,AUS,1966,423.47574
Australia,AUS,1967,449.67706
Australia,AUS,1968,477.284
Australia,AUS,1969,495.8524
Australia,AUS,1970,539.19385
Australia,AUS,1971,563.9407
Australia,AUS,1972,591.0382
Australia,AUS,1973,631.9479
Australia,AUS,1974,669.5066
Australia,AUS,1975,678.3161
Australia,AUS,1976,705.69037
Australia,AUS,1977,744.54974
Australia,AUS,1978,766.5332
Australia,AUS,1979,797.83167
Australia,AUS,1980,803.1974
Australia,AUS,1981,815.50165
Australia,AUS,1982,810.51056
Australia,AUS,1983,804.34625
Australia,AUS,1984,831.13434
Australia,AUS,1985,853.61554
Australia,AUS,1986,869.46875
Australia,AUS,1987,895.7819
Australia,AUS,1988,936.594
Australia,AUS,1989,984.97925
Australia,AUS,1990,1005.01117
Australia,AUS,1991,995.33966
Australia,AUS,1992,1011.1069
Australia,AUS,1993,1033.7987
Australia,AUS,1994,1075.5049
Australia,AUS,1995,1105.3599
Australia,AUS,1996,1137.8004
Australia,AUS,1997,1166.8213
Australia,AUS,1998,1196.0067
Australia,AUS,1999,1245.3375
Australia,AUS,2000,1253.1943
Australia,AUS,2001,1264.4698
Australia,AUS,2002,1288.9951
Australia,AUS,2003,1306.2241
Australia,AUS,2004,1347.7529
Australia,AUS,2005,1349.514
Australia,AUS,2006,1408.5713
Australia,AUS,2007,1446.271
Australia,AUS,2008,1475.3569
Australia,AUS,2009,1450.3665
Australia,AUS,2010,1443.7646
Australia,AUS,2011,1469.9421
Australia,AUS,2012,1448.7358
Australia,AUS,2013,1454.2837
Australia,AUS,2014,1472.9941
Australia,AUS,2015,1501.1394
Australia,AUS,2016,1491.7903
Australia,AUS,2017,1494.3191
Australia,AUS,2018,1491.3997
Australia,AUS,2019,1531.1896
Australia,AUS,2020,1413.4504
Australia,AUS,2021,1383.9531
Australia,AUS,2022,1429.6251
Australia,AUS,2023,1407.3069
Australia,AUS,2024,1413.3969
Austria,AUT,1965,141.94102
Austria,AUT,1966,147.07748
Austria,AUT,1967,148.0307
Austria,AUT,1968,160.46872
Austria,AUT,1969,172.49156
Austria,AUT,1970,191.19582
Austria,AUT,1971,203.34729
Austria,AUT,1972,210.70653
Austria,AUT,1973,224.70872
Austria,AUT,1974,215.80243
Austria,AUT,1975,210.70143
Austria,AUT,1976,230.08144
Austria,AUT,1977,217.90717
Austria,AUT,1978,230.44016
Austria,AUT,1979,239.13525
Austria,AUT,1980,234.79614
Austria,AUT,1981,220.305
Austria,AUT,1982,209.96161
Austria,AUT,1983,209.99268
Austria,AUT,1984,218.07474
Austria,AUT,1985,221.79253
Austria,AUT,1986,220.94208
Austria,AUT,1987,226.48557
Austria,AUT,1988,221.39606
Austria,AUT,1989,223.70924
Austria,AUT,1990,237.00523
Austria,AUT,1991,252.50922
Austria,AUT,1992,237.50278
Austria,AUT,1993,239.55745
Austria,AUT,1994,239.9541
Austria,AUT,1995,252.11955
Austria,AUT,1996,269.42825
Austria,AUT,1997,268.2775
Austria,AUT,1998,273.3342
Austria,AUT,1999,267.20245
Austria,AUT,2000,266.3776
Austria,AUT,2001,281.89987
Austria,AUT,2002,283.94098
Austria,AUT,2003,304.80746
Austria,AUT,2004,307.2326
Austria,AUT,2005,312.7488
Austria,AUT,2006,306.0763
Austria,AUT,2007,292.99698
Austria,AUT,2008,293.914
Austria,AUT,2009,271.34467
Austria,AUT,2010,289.54953
Austria,AUT,2011,275.898
Austria,AUT,2012,266.2047
Austria,AUT,2013,265.7849
Austria,AUT,2014,251.53235
Austria,AUT,2015,260.5254
Austria,AUT,2016,265.0246
Austria,AUT,2017,273.69183
Austria,AUT,2018,268.06705
Austria,AUT,2019,276.15015
Austria,AUT,2020,247.33371
Austria,AUT,2021,260.53104
Austria,AUT,2022,243.02031
Austria,AUT,2023,230.86226
Austria,AUT,2024,228.0603
Azerbaijan,AZE,1985,231.06927
Azerbaijan,AZE,1986,250.45601
Azerbaijan,AZE,1987,242.64438
Azerbaijan,AZE,1988,243.13956
Azerbaijan,AZE,1989,247.98709
Azerbaijan,AZE,1990,255.64854
Azerbaijan,AZE,1991,245.14902
